workbook_model_name,source_id,source_name,brand,live_review_url,overall,value,edgeSupport,trialPeriod,responseTime,motionTransfer,coolingBreathability,in_best_page,in_comparison_page
FORM Prime X,form-prime-x,FORM Prime X,FORM,/reviews/form-prime-x/,10,8,10,10,10,10,9,No,No
Glacier Original Hybrid,glacier-original-hybrid,Glacier Original Hybrid,Glacier,/reviews/glacier-original-hybrid/,8,10,9,10,9,8,10,Yes,No
Glacier Summit Hybrid,glacier-summit-hybrid,Glacier Summit Hybrid,Glacier,/reviews/glacier-summit-hybrid/,8,10,9,10,9,8,10,Yes,No
Latex For Less Hybrid Latex Mattress,latex-for-less-hybrid-latex-mattress,Latex For Less Hybrid Latex Mattress,Latex For Less,/reviews/latex-for-less-hybrid-latex-mattress/,8,10,5,9,10,9,9,No,No
Naturepedic EOS Classic,naturepedic-eos-classic,Naturepedic EOS Classic,Naturepedic,/reviews/naturepedic-eos-classic/,9,6,9,9,9,8,9,Yes,No
Naturepedic Concerto Plush,naturepedic-concerto-plush,Naturepedic Concerto Plush,Naturepedic,/reviews/naturepedic-concerto-plush/,9,6,8,9,9,8,9,Yes,No
Nest Bedding Owl,nest-bedding-owl,Nest Bedding Owl,Nest Bedding,/reviews/nest-bedding-owl/,10,8,9,10,10,9,9,Yes,No
Nest Bedding Puffin Kids,nest-bedding-puffin-kids,Nest Bedding Puffin Kids,Nest Bedding,/reviews/nest-bedding-puffin-kids/,9,10,9,5,9,8,8,No,No
Nest Bedding Raven,nest-bedding-raven,Nest Bedding Raven,Nest Bedding,/reviews/nest-bedding-raven/,9,9,9,10,10,9,8,Yes,No
"Nolah Natural 11""",nolah-natural-11,"Nolah Natural 11""",Nolah,/reviews/nolah-natural-11/,8,9,9,9,10,8,9,Yes,No
Nolah Original Hybrid,nolah-original-hybrid,Nolah Original Hybrid,Nolah,/reviews/nolah-original-hybrid/,8,9,8,9,10,8,8,No,No
PlushBeds Botanical Bliss,plushbeds-botanical-bliss,PlushBeds Botanical Bliss,PlushBeds,/reviews/plushbeds-botanical-bliss/,9,7,8,9,8,10,9,Yes,No
PlushBeds Luxury Bliss,plushbeds-luxury-bliss,PlushBeds Luxury Bliss,PlushBeds,/reviews/plushbeds-luxury-bliss/,8,8,7,9,10,7,9,Yes,No
PlushBeds Organic Bliss,plushbeds-organic-bliss,PlushBeds Organic Bliss,PlushBeds,/reviews/plushbeds-organic-bliss/,9,8,9,9,9,9,9,Yes,No
PlushBeds Organic Kids Mattress,plushbeds-organic-kids,PlushBeds Organic Kids Mattress,PlushBeds,/reviews/plushbeds-organic-kids/,9,8,9,9,10,9,9,No,No
PlushBeds Signature Bliss,plushbeds-signature-bliss,PlushBeds Signature Bliss,PlushBeds,/reviews/plushbeds-signature-bliss/,10,9,10,9,10,9,9,Yes,No
SweetNight CoolNest Memory Foam Mattress,sweetnight-coolnest,SweetNight CoolNest Memory Foam Mattress,SweetNight,/reviews/sweetnight-coolnest/,8,10,7,9,8,10,9,Yes,No
SweetNight Prime Memory Foam Mattress,sweetnight-prime,SweetNight Prime Memory Foam Mattress,SweetNight,/reviews/sweetnight-prime/,7,10,5,9,7,10,8,No,No
Vaya Foam,vaya-foam,Vaya Foam,Vaya,/reviews/vaya-foam/,8,10,7,9,9,9,8,No,No
Vaya Hybrid,vaya-hybrid,Vaya Hybrid,Vaya,/reviews/vaya-hybrid/,8,10,8,9,10,8,8,Yes,No
Westin Heavenly Bed,westin-heavenly-bed,Westin Heavenly Bed,Westin,/reviews/westin-heavenly-bed/,10,8,10,0,10,9,9,Yes,No
Zoma Boost,zoma-boost,Zoma Boost,Zoma,/reviews/zoma-boost/,10,10,10,9,9,10,9,Yes,No
Zoma Hybrid,zoma-hybrid,Zoma Hybrid,Zoma,/reviews/zoma-hybrid/,9,10,10,9,9,9,9,No,No
Zoma Start,zoma-start,Zoma Start,Zoma,/reviews/zoma-start/,9,10,10,9,8,9,9,No,No
